,,,,,,,RACE 5 (276),,,,,,,,,,
,,,,,,,RACE 9 (280),,,,,,,,,,
,,,,,,,RACE 1 (272),,,,,,,,,,
FinishTime,Horse,Jockey,HorseCode,Url,image_urls,ActualWt,RaceIndex,Place,images,Trainer,Draw,LBW,RunningPosition,WinOdds,HorseNo,RaceNumber,DeclarHorseWt
,,,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,,,11,
,,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,,,1,
FinishTime,Horse,Jockey,HorseCode,Url,image_urls,ActualWt,RaceIndex,Place,images,Trainer,Draw,LBW,RunningPosition,WinOdds,HorseNo,RaceNumber,DeclarHorseWt
,,,,,,, (282),,,,,,,,,11,
,,,,,,, (280),,,,,,,,,9,
,,,,,,, (279),,,,,,,,,8,
,,,,,,, (277),,,,,,,,,6,
,,,,,,, (276),,,,,,,,,5,
,,,,,,, (275),,,,,,,,,4,
,,,,,,, (281),,,,,,,,,10,
,,,,,,, (278),,,,,,,,,7,
,,,,,,, (274),,,,,,,,,3,
,,,,,,, (273),,,,,,,,,2,
,,,,,,, (272),,,,,,,,,1,
FinishTime,Horse,Jockey,HorseCode,Url,image_urls,ActualWt,RaceIndex,Place,images,Trainer,Draw,LBW,RunningPosition,WinOdds,HorseNo,RaceNumber,DeclarHorseWt
,,,,,,, (273),,,,,,,,,2,
,,,,,,, (281),,,,,,,,,10,
,,,,,,, (279),,,,,,,,,8,
,,,,,,, (280),,,,,,,,,9,
,,,,,,, (282),,,,,,,,,11,
,,,,,,, (276),,,,,,,,,5,
,,,,,,, (277),,,,,,,,,6,
,,,,,,, (278),,,,,,,,,7,
,,,,,,, (272),,,,,,,,,1,
,,,,,,, (275),,,,,,,,,4,
,,,,,,, (274),,,,,,,,,3,
FinishTime,Horse,Jockey,HorseCode,Url,image_urls,ActualWt,RaceIndex,Place,images,Trainer,Draw,LBW,RunningPosition,WinOdds,HorseNo,RaceNumber,DeclarHorseWt
,,,,,,, (278),,,,,,,,,7,
,,,,,,, (281),,,,,,,,,10,
,,,,,,, (273),,,,,,,,,2,
,,,,,,, (276),,,,,,,,,5,
,,,,,,, (274),,,,,,,,,3,
,,,,,,, (277),,,,,,,,,6,
,,,,,,, (282),,,,,,,,,11,
,,,,,,, (280),,,,,,,,,9,
,,,,,,, (272),,,,,,,,,1,
,,,,,,, (279),,,,,,,,,8,
FinishTime,Horse,Jockey,HorseCode,Url,image_urls,ActualWt,RaceIndex,Place,images,Trainer,Draw,LBW,RunningPosition,WinOdds,HorseNo,RaceNumber,DeclarHorseWt
,,,,,,, (282),,,,,,,,,11,
,,,,,,, (280),,,,,,,,,9,
,,,,,,, (275),,,,,,,,,4,
,,,,,,, (278),,,,,,,,,7,
,,,,,,, (276),,,,,,,,,5,
,,,,,,, (281),,,,,,,,,10,
,,,,,,, (277),,,,,,,,,6,
,,,,,,, (279),,,,,,,,,8,
,,,,,,, (274),,,,,,,,,3,
,,,,,,, (272),,,,,,,,,1,
,,,,,,, (273),,,,,,,,,2,
